user_id,transaction_date,order_id,order_revenue
47567788.3779803485,2020-11-23,351216,38.0
47567788.3779803485,2020-11-23,462095,38.0
47567788.3779803485,2020-11-23,443137,38.0
7750159.6505312378,2020-11-23,820027,38.0
7750159.6505312378,2020-11-23,820027,38.0
7653885.7449557450,2020-11-23,19875,37.0
7653885.7449557450,2020-11-23,19875,37.0
2430931.6173812141,2020-11-23,77139,32.0
2430931.6173812141,2020-11-23,77139,32.0
7171483.9306816136,2020-11-23,262330,30.0
7171483.9306816136,2020-11-23,262330,30.0
44093840.8232543120,2020-11-23,699086,30.0
44093840.8232543120,2020-11-23,699086,30.0
52565741.6337681069,2020-11-23,726100,30.0
52565741.6337681069,2020-11-23,726100,30.0
3060385.8652779159,2020-11-23,236150,28.0
3060385.8652779159,2020-11-23,236150,28.0
49338484.8834497287,2020-11-23,104557,24.0
49338484.8834497287,2020-11-23,104557,24.0
60865680.9694385103,2020-11-23,250228,24.0
60865680.9694385103,2020-11-23,250228,24.0
61075770.3143256951,2020-11-23,668014,24.0
61075770.3143256951,2020-11-23,668014,24.0
70430928.9867363250,2020-11-23,98264,24.0
70430928.9867363250,2020-11-23,98264,24.0
5303282.2843811139,2020-11-23,256093,22.0
5303282.2843811139,2020-11-23,256093,22.0
57268788.8001579631,2020-11-23,108323,22.0
57268788.8001579631,2020-11-23,108323,22.0
50900904.6507728330,2020-11-23,684239,22.0
50900904.6507728330,2020-11-23,684239,22.0
4690975558.5693388345,2020-11-23,908178,21.0
4690975558.5693388345,2020-11-23,908178,21.0
12140400.0943472141,2020-11-23,52667,16.0
12140400.0943472141,2020-11-23,52667,16.0
88125518.8306270972,2020-11-23,968768,15.0
88125518.8306270972,2020-11-23,968768,15.0
7644155580.3915602822,2020-11-23,166958,14.0
7644155580.3915602822,2020-11-23,166958,14.0
6882191.5520315726,2020-11-23,962877,14.0
6882191.5520315726,2020-11-23,962877,14.0
6552271.8804757597,2020-11-23,50181,13.0
6552271.8804757597,2020-11-23,50181,13.0
70837463.6029197962,2020-11-23,140428,13.0
70837463.6029197962,2020-11-23,140428,13.0
4487780.9759536757,2020-11-23,748684,13.0
4487780.9759536757,2020-11-23,748684,13.0
1423095.5468047734,2020-11-23,514406,12.0
1423095.5468047734,2020-11-23,514406,12.0
3762381.5920758171,2020-11-23,712643,10.0
3762381.5920758171,2020-11-23,712643,10.0
17321543.6104652631,2020-11-23,507098,10.0
17321543.6104652631,2020-11-23,400284,10.0
17321543.6104652631,2020-11-23,507098,10.0
17321543.6104652631,2020-11-23,400284,10.0
7285756326.1533513847,2020-11-22,858251,285.0
7285756326.1533513847,2020-11-22,858251,285.0
3282203.4038192177,2020-11-22,521296,176.0
3282203.4038192177,2020-11-22,521296,176.0
91694984.1982284598,2020-11-22,294187,151.0
91694984.1982284598,2020-11-22,294187,151.0
1561271.7182118121,2020-11-22,213570,145.0
1561271.7182118121,2020-11-22,213570,145.0
58404409.8347902611,2020-11-22,162910,119.0
58404409.8347902611,2020-11-22,162910,119.0
3435332.1615492469,2020-11-22,412027,115.0
3435332.1615492469,2020-11-22,412027,115.0
72449605.4329856695,2020-11-22,568844,71.0
72449605.4329856695,2020-11-22,568844,71.0
27091777.7996598878,2020-11-22,329640,67.0
27091777.7996598878,2020-11-22,329640,67.0
6474740.9832985685,2020-11-22,646552,53.0
6474740.9832985685,2020-11-22,646552,53.0
14763691.5596383469,2020-11-22,932276,50.0
14763691.5596383469,2020-11-22,932276,50.0
5795144.5608491958,2020-11-22,760396,48.0
5795144.5608491958,2020-11-22,760396,48.0
65763297.7718598085,2020-11-22,145758,45.0
65763297.7718598085,2020-11-22,145758,45.0
5795144.5608491958,2020-11-22,763833,41.0
5795144.5608491958,2020-11-22,763833,41.0
58393225.4182288649,2020-11-22,490483,38.0
58393225.4182288649,2020-11-22,490483,38.0
62245069.7842050254,2020-11-22,292782,33.0
62245069.7842050254,2020-11-22,292782,33.0
22876548.9702869375,2020-11-22,66004,29.0
22876548.9702869375,2020-11-22,66004,29.0
1767608.5293832909,2020-11-22,13378,26.0
1767608.5293832909,2020-11-22,13378,26.0
42955001.0060658686,2020-11-22,529198,25.0
42955001.0060658686,2020-11-22,529198,25.0
6220202.4224592569,2020-11-22,810086,22.0
6220202.4224592569,2020-11-22,810086,22.0
23687755.9277542049,2020-11-22,621006,22.0
23687755.9277542049,2020-11-22,621006,22.0
91380786.2722892117,2020-11-22,374033,22.0
91380786.2722892117,2020-11-22,374033,22.0
46436321.7372563843,2020-11-22,252310,21.0
46436321.7372563843,2020-11-22,252310,21.0
81842590.3577131570,2020-11-22,764464,18.0
81842590.3577131570,2020-11-22,764464,18.0
3438183.9839922441,2020-11-22,461153,18.0
3438183.9839922441,2020-11-22,461153,18.0
30327434.6405100575,2020-11-22,619545,17.0
30327434.6405100575,2020-11-22,619545,17.0
8879691.4852058514,2020-11-22,366414,16.0
8879691.4852058514,2020-11-22,366414,16.0
26602266.2623964235,2020-11-22,307903,16.0
26602266.2623964235,2020-11-22,307903,16.0
30327434.6405100575,2020-11-22,485711,15.0
30327434.6405100575,2020-11-22,485711,15.0
8926225.9345063255,2020-11-22,668938,10.0
8926225.9345063255,2020-11-22,668938,10.0
41474740.1017155695,2020-11-21,233993,452.0
