user_id,lifetime_value,source,medium,campaign
85305313.7561330759,341.0,(data deleted),(data deleted),(data deleted)
64451489.6117020616,298.0,shop.googlemerchandisestore.com,referral,(referral)
63177378.7681474242,744.0,<Other>,<Other>,<Other>
1961021.4251862365,203.0,(direct),(none),(direct)
3327716.6139481359,257.0,(direct),(none),(direct)
35710256.3477753994,474.0,google,organic,(organic)
32328904.6840270281,214.0,(data deleted),(data deleted),(data deleted)
1279990.2790569705,532.0,<Other>,<Other>,<Other>
37930099.3763917539,576.0,(direct),(none),(direct)
97950097.5837353470,491.0,google,organic,(organic)
8263478975.0153803823,260.0,<Other>,referral,(referral)
8156646657.1507119761,508.0,<Other>,referral,(referral)
3518681.5571822382,347.0,(direct),(none),(direct)
28202253.7064162636,478.0,<Other>,referral,(referral)
32190182.0699794389,263.0,shop.googlemerchandisestore.com,referral,(referral)
63837285.4662582710,253.0,<Other>,<Other>,<Other>
24207018.3974015161,217.0,shop.googlemerchandisestore.com,referral,(referral)
7285756326.1533513847,570.0,shop.googlemerchandisestore.com,referral,(referral)
63829798.3654577693,258.0,<Other>,<Other>,<Other>
6822684.1627482502,671.0,google,organic,(organic)
3833171.6184728360,771.0,(data deleted),(data deleted),(data deleted)
45732822.6958771748,514.0,<Other>,referral,(referral)
1317256.8451359656,208.0,google,organic,(organic)
7064082.7860041455,266.0,shop.googlemerchandisestore.com,referral,(referral)
27314189.0356814830,323.0,google,organic,(organic)
3046093.2167709173,249.0,google,organic,(organic)
25363504.9539525923,536.0,google,organic,(organic)
3159757.1355046671,314.0,(direct),(none),(direct)
79260143.2564567739,233.0,google,cpc,<Other>
4376619.9958221943,408.0,<Other>,referral,(referral)
2314652.7895916826,270.0,<Other>,<Other>,<Other>
2251343.9552099455,240.0,(direct),(none),(direct)
44208623.4340317802,317.0,<Other>,referral,(referral)
12291446.3815334458,976.0,google,organic,(organic)
6556724.6722841168,232.0,google,organic,(organic)
19173235.3605594670,222.0,google,organic,(organic)
39388951.3688006674,806.0,google,organic,(organic)
39816785.0776255763,266.0,google,organic,(organic)
6488580233.2228683836,291.0,google,organic,(organic)
22222567.3132315095,236.0,google,organic,(organic)
6195712.5561534807,218.0,google,organic,(organic)
18210686.3272655150,551.0,google,organic,(organic)
25335187.2299023217,405.0,google,organic,(organic)
