user_id,absolute_purchase_count,average_order_value
7709361184.1393664585,1,166.0
10945077.7212556025,1,166.0
4951824232.2987874402,1,166.0
8579252.3506286297,1,165.0
2042749.4699501738,1,165.0
12152291.1519358530,1,165.0
8366314228.9854739652,1,164.0
41509908.7423660369,1,164.0
68062973.3734091414,1,164.0
5232022.2769052718,1,163.0
78606650.1679620782,1,163.0
3036743.2199967879,1,163.0
26336473.4191490468,1,162.0
5320068.3830223799,1,162.0
4142001.1259803751,1,162.0
80435974.9462183494,1,162.0
92228801.7371633756,1,162.0
2569739.8101031899,1,162.0
1594874.6106636037,1,162.0
6488582.8788491425,1,161.0
63378233.4846691578,1,161.0
38940697.0285959050,1,160.0
8421611.9716301302,1,160.0
46252928.2409079037,1,160.0
88483035.1457878746,1,159.0
80120305.1144725890,1,159.0
9957205.7975202648,1,159.0
3414474.3739440974,1,159.0
5973523.5114607466,1,159.0
27576412.5755687425,1,159.0
2385181.0293493711,1,158.0
82552229.9514417843,1,158.0
35064550.9410834862,1,157.0
3064545.2019467351,1,157.0
18383544.6572002162,1,157.0
74275572.8018336190,1,156.0
10172849.5375293351,1,156.0
5409431.3869554427,1,156.0
6567766382.8954640880,1,156.0
66118688.0355028155,1,155.0
3167058.8718002822,1,155.0
4267777.0729523939,1,155.0
43930190.6916774543,1,154.0
66888229.7531203853,1,154.0
3953783.0019328064,1,153.0
61926936.5478907982,1,153.0
1306542.3194160764,1,153.0
1236268.2863374901,1,153.0
18637647.0398129287,1,152.0
6564796.1290041020,1,152.0
34613058.0872685890,1,152.0
6698358.4948359155,1,152.0
66209749.3358798510,1,152.0
91274512.0451281678,1,152.0
13654113.8966730613,1,151.0
1482564.3987701428,1,151.0
79168059.5419491216,1,151.0
79224794.0908623273,1,151.0
6962813.9978021110,1,150.0
2357215.0639934221,1,150.0
76553297.6424575211,1,150.0
9134268.2677185739,1,149.0
8843133.1891118007,1,149.0
49774767.6772681723,1,149.0
35482474.3482133405,1,149.0
14271346.9604620566,1,149.0
68642235.5457535999,1,149.0
5161034.1094954200,1,148.0
16040805.0993914136,1,148.0
4591821.3573843022,1,147.0
26146640.6553848001,1,147.0
27529375.1021066476,1,147.0
52926719.9136345792,1,146.0
11446993.7876701936,1,146.0
6253211.3885054572,1,146.0
3118737.2160667978,1,146.0
3375496.0648813714,1,145.0
20672792.1203830043,1,145.0
13846928.7700463041,1,145.0
1561271.7182118121,1,145.0
91641252.7325140111,1,145.0
74343631.1384953092,1,145.0
53469191.6312753520,1,145.0
34971587.2279395517,1,144.0
1226476.1714273543,1,144.0
36269808.1408960379,1,144.0
40361521.9277379246,1,144.0
17723870.8339931689,1,144.0
56162479.7328415035,1,144.0
2861916.5058017546,1,143.0
41721597.7658078053,1,143.0
5607144.6246327246,1,142.0
53550354.6354713181,1,142.0
6445892.8785219212,1,142.0
29930506.5218532120,1,142.0
49204088.5414438728,1,142.0
8575512403.1238544800,1,142.0
5762284.1219633284,1,141.0
20875971.1554451473,1,141.0
24730584.3649999643,1,141.0
43925286.2421542089,1,141.0
42669696.4294515505,1,141.0
51622008.5857082333,1,141.0
69465148.8614142616,1,141.0
45452162.3941392032,1,141.0
70483620.3788783066,1,141.0
1318733.0567000195,1,140.0
7195744.3597932803,1,140.0
6486077.9466352381,1,140.0
5237164.5029724872,1,140.0
27563953.0157833669,1,139.0
7836037.1182313637,1,139.0
757260624.2638708963,1,139.0
1674464967.3081069850,1,139.0
82318647.2923735234,1,139.0
12910025.9027187436,1,139.0
5054587697.5012997199,1,139.0
46234784.3243120445,1,139.0
59148831.3216183453,1,138.0
6243779.7009501752,1,138.0
31733645.3711323316,1,138.0
8316881.1639820242,1,138.0
5086084.2046303089,1,138.0
70707207.7999405769,1,137.0
90038379.9838021098,1,137.0
53104811.8176614311,1,137.0
3807582.7673594726,1,136.0
3430324.0837067291,1,136.0
4551285.5053498474,1,136.0
59495950.2019580073,1,136.0
3823171539.6208242596,1,136.0
8694256.3821330797,1,136.0
59649348.4836960943,1,135.0
65136379.8546335808,1,135.0
20578333.9348490845,1,135.0
79556001.9340338986,1,135.0
72350469.7974540341,1,135.0
83387184.5649814185,1,135.0
31220521.2000170274,1,134.0
28250200.9798495385,1,134.0
33563436.3777012158,1,134.0
6513698.9723353874,1,133.0
5485119.4778259275,1,133.0
25712283.2548580985,1,133.0
18614512.0976220226,1,133.0
3452874.7364832626,1,133.0
65961107.4750713729,1,133.0
64797298.8608140430,1,133.0
6654192.1493839069,1,133.0
10295267.8818269139,1,132.33
19635531.2112455317,1,132.0
41179206.8501474127,1,132.0
80399793.1335226221,1,132.0
8404511.3408596525,1,132.0
72967154.2008054722,1,132.0
