user_id,recency_days,frequency_count,total_monetary_spend,rfm_combined_code,customer_lifecycle_status
8272346.3449861049,7,1,30.0,144,AT RISK - NEED RETENTION
2756907.5463530964,74,1,30.0,514,STANDARD CONVERTED CUSTOMER
21387540.3778769856,85,1,28.0,534,STANDARD CONVERTED CUSTOMER
7529108.3603947452,51,1,22.0,354,STANDARD CONVERTED CUSTOMER
2353041.1837186416,84,1,22.0,524,STANDARD CONVERTED CUSTOMER
30029755.0497081277,86,1,21.0,544,CHAMPIONS / ELITE
20368983.6178046546,46,1,19.0,245,AT RISK - NEED RETENTION
23851655.0546635394,78,1,18.0,545,CHAMPIONS / ELITE
2486846.9299481244,46,1,14.0,225,STANDARD CONVERTED CUSTOMER
5492322788.7993357688,9,1,0.0,145,AT RISK - NEED RETENTION
40923418.8734148429,23,1,0.0,255,AT RISK - NEED RETENTION
19963687.0354504348,4,1,0.0,145,AT RISK - NEED RETENTION
37373345.2187889953,2,1,0.0,135,AT RISK - NEED RETENTION
31640172.6087660596,5,1,0.0,145,AT RISK - NEED RETENTION
66036121.7799299870,48,1,305.0,341,STANDARD CONVERTED CUSTOMER
6414647.4737074407,51,2,185.0,311,STANDARD CONVERTED CUSTOMER
77805852.6832906360,46,2,179.0,211,STANDARD CONVERTED CUSTOMER
79964492.7086086150,76,2,169.0,511,STANDARD CONVERTED CUSTOMER
76553297.6424575211,63,1,150.0,441,STANDARD CONVERTED CUSTOMER
46234784.3243120445,58,1,139.0,411,STANDARD CONVERTED CUSTOMER
31733645.3711323316,52,1,138.0,351,STANDARD CONVERTED CUSTOMER
10731965.6220509788,45,4,112.0,211,STANDARD CONVERTED CUSTOMER
73347340.2924582017,51,2,110.0,312,STANDARD CONVERTED CUSTOMER
2546049.6626963713,54,1,105.0,322,STANDARD CONVERTED CUSTOMER
1706011.8461395358,62,2,101.0,412,STANDARD CONVERTED CUSTOMER
2327591.8383238956,17,1,86.0,152,AT RISK - NEED RETENTION
75449906.0465740489,64,1,85.0,422,STANDARD CONVERTED CUSTOMER
67165994.3239573530,64,2,85.0,412,STANDARD CONVERTED CUSTOMER
90374652.8048607690,60,1,71.0,432,STANDARD CONVERTED CUSTOMER
25060616.2829422023,89,1,68.0,522,STANDARD CONVERTED CUSTOMER
56494469.6974953877,89,1,66.0,553,STANDARD CONVERTED CUSTOMER
2430931.6173812141,69,1,64.0,553,STANDARD CONVERTED CUSTOMER
4565585.6143138051,10,1,55.0,133,AT RISK - NEED RETENTION
71770739.4629236606,88,1,55.0,523,STANDARD CONVERTED CUSTOMER
8620049.6567104406,90,0,51.0,553,STANDARD CONVERTED CUSTOMER
84593755.9527466218,59,1,48.0,433,STANDARD CONVERTED CUSTOMER
40765276.6033983074,91,0,48.0,553,STANDARD CONVERTED CUSTOMER
76343549.7157495802,76,1,44.0,553,STANDARD CONVERTED CUSTOMER
46436321.7372563843,70,1,42.0,553,STANDARD CONVERTED CUSTOMER
46714149.5501637443,41,1,41.0,253,AT RISK - NEED RETENTION
2213203.3846940178,49,1,36.0,334,STANDARD CONVERTED CUSTOMER
4115631247.9768785574,20,1,35.0,114,HIBERNATING / LOST
6363623135.4270133281,27,1,32.0,244,AT RISK - NEED RETENTION
2402576.2075653416,43,1,30.0,224,STANDARD CONVERTED CUSTOMER
7316230097.2070552331,83,1,28.0,554,CHAMPIONS / ELITE
45684041.1487561454,51,1,24.0,344,STANDARD CONVERTED CUSTOMER
41473698.5123929648,53,1,24.0,324,STANDARD CONVERTED CUSTOMER
6975966.3912289420,51,1,22.0,344,STANDARD CONVERTED CUSTOMER
37493575.0376020341,43,1,21.0,224,STANDARD CONVERTED CUSTOMER
6918448.4186180278,37,1,11.0,235,AT RISK - NEED RETENTION
64153722.8541983540,5,1,0.0,135,AT RISK - NEED RETENTION
14058582.9385029369,5,1,0.0,135,AT RISK - NEED RETENTION
67648046.0122401051,4,1,0.0,135,AT RISK - NEED RETENTION
51628969.7180687785,61,1,0.0,435,STANDARD CONVERTED CUSTOMER
5107942.1768070238,2,1,0.0,135,AT RISK - NEED RETENTION
11276007.4623855146,39,2,529.0,211,STANDARD CONVERTED CUSTOMER
54019036.7189560758,69,1,490.0,521,STANDARD CONVERTED CUSTOMER
73497675.9720954301,10,3,294.0,111,HIBERNATING / LOST
84534898.7989426950,43,6,252.0,211,STANDARD CONVERTED CUSTOMER
7534419.7933326516,76,1,231.0,551,STANDARD CONVERTED CUSTOMER
3188737051.8836428627,75,2,223.0,511,STANDARD CONVERTED CUSTOMER
70532365.4711674582,86,1,199.0,521,STANDARD CONVERTED CUSTOMER
3167058.8718002822,56,1,155.0,341,STANDARD CONVERTED CUSTOMER
1197596.6971314265,79,2,144.0,511,STANDARD CONVERTED CUSTOMER
43925286.2421542089,46,1,141.0,241,AT RISK - NEED RETENTION
4182254.4394955103,15,2,131.0,111,HIBERNATING / LOST
3158904.4798196476,75,1,126.0,521,STANDARD CONVERTED CUSTOMER
85265536.4138277437,41,1,124.0,251,AT RISK - NEED RETENTION
9052157.9901549579,61,1,103.0,452,STANDARD CONVERTED CUSTOMER
81894085.3422774223,40,1,92.0,232,AT RISK - NEED RETENTION
6085157.6522638010,46,1,86.0,222,STANDARD CONVERTED CUSTOMER
35776748.8724446726,45,1,84.0,252,AT RISK - NEED RETENTION
6912309.8730595992,9,1,79.0,122,HIBERNATING / LOST
19569327.4509171845,61,1,64.0,433,STANDARD CONVERTED CUSTOMER
15894992.4328529401,43,1,63.0,233,AT RISK - NEED RETENTION
3800893.0734397867,62,1,58.0,433,STANDARD CONVERTED CUSTOMER
25558125.8475774734,40,1,57.0,243,AT RISK - NEED RETENTION
3060385.8652779159,69,1,56.0,523,STANDARD CONVERTED CUSTOMER
85373859.0716916641,67,1,55.0,413,STANDARD CONVERTED CUSTOMER
66000056.3111790804,76,1,55.0,543,STANDARD CONVERTED CUSTOMER
5061885.3794873804,45,1,48.0,213,STANDARD CONVERTED CUSTOMER
1951144.2472590359,76,1,48.0,553,STANDARD CONVERTED CUSTOMER
6257810.1983753715,9,1,48.0,143,AT RISK - NEED RETENTION
58280513.2382319085,19,1,46.0,153,AT RISK - NEED RETENTION
71409956.2205600982,76,1,46.0,513,STANDARD CONVERTED CUSTOMER
9047104.0893275400,62,1,37.0,424,STANDARD CONVERTED CUSTOMER
1655781.0131717336,38,1,32.0,244,AT RISK - NEED RETENTION
83712753.2730874013,41,1,30.0,254,AT RISK - NEED RETENTION
